Nam,Tinh,TenTinh,Mon,count,mean,national_mean,delta_from_national,z_score,severity
2023,25,Ninh Bình,Toan,20254,7.1283,6.2506,0.8777,1.5657,2.4434
2022,13,Lạng Sơn,Toan,7849,5.6219,6.4663,-0.8444,-1.599,2.4434
2024,7,Điện Biên,Toan,3979,5.5991,6.4473,-0.8482,-1.5932,2.4414
2022,32,Đà Nẵng,NguVan,8448,5.6029,6.508,-0.9051,-1.5357,2.4408000000000003
2023,39,Bình Thuận,NguVan,10531,6.0034,6.8584,-0.855,-1.5628,2.4177999999999997
2024,13,Lạng Sơn,Toan,8483,5.6165,6.4473,-0.8308,-1.5605,2.3913
2023,4,Bắc Kạn,NguVan,12868,6.0176,6.8584,-0.8408,-1.5368,2.3776
2024,10,Yên Bái,NgoaiNgu,7452,4.6348,5.522,-0.8872,-1.4883,2.3754999999999997
2021,11,Hòa Bình,NgoaiNgu,2337,4.9082,5.8499,-0.9417,-1.4251,2.3668
2021,25,Ninh Bình,Toan,20786,7.4229,6.6138,0.8091,1.5566,2.3657
2024,25,Ninh Bình,Toan,21653,7.2621,6.4473,0.8148,1.5304,2.3452
2024,40,Kon Tum,NgoaiNgu,18925,4.6535,5.522,-0.8685,-1.4569,2.3254
2023,28,Hà Tĩnh,NguVan,35961,7.6786,6.8584,0.8202,1.4991,2.3193
2024,58,Kiên Giang,NguVan,9606,8.0939,7.2313,0.8626,1.4494,2.3120000000000003
2021,10,Yên Bái,NgoaiNgu,7681,4.9328,5.8499,-0.9171,-1.3879,2.3049999999999997
2022,24,Nam Định,NguVan,9035,7.3626,6.508,0.8546,1.45,2.3045999999999998
2023,27,Nghệ An,NguVan,11025,7.6695,6.8584,0.8111,1.4825,2.2936
2022,27,Nghệ An,NguVan,10324,7.3572,6.508,0.8492,1.4408,2.29
2024,34,Quảng Ngãi,NguVan,17119,6.3828,7.2313,-0.8485,-1.4257,2.2742
2021,7,Điện Biên,NgoaiNgu,3101,4.9467,5.8499,-0.9032,-1.3668,2.27
2024,59,Cần Thơ,NgoaiNgu,9833,4.6756,5.522,-0.8464,-1.4198,2.2662
2022,30,Quảng Trị,NguVan,17018,7.3409,6.508,0.8329,1.4132,2.2461
2021,52,Tiền Giang,NgoaiNgu,11483,6.7356,5.8499,0.8857,1.3403,2.226
2024,58,Kiên Giang,NgoaiNgu,8877,4.6929,5.522,-0.8291,-1.3908,2.2199
2021,29,Quảng Bình,NgoaiNgu,31308,4.9736,5.8499,-0.8763,-1.3261,2.2024
2024,24,Nam Định,NguVan,9456,8.0456,7.2313,0.8143,1.3683,2.1826
2024,25,Ninh Bình,NguVan,21544,8.0454,7.2313,0.8141,1.3679,2.182
2024,29,Quảng Bình,NguVan,36273,8.0429,7.2313,0.8116,1.3637,2.1753
2023,40,Kon Tum,NgoaiNgu,19019,4.6591,5.4624,-0.8033,-1.3174,2.1207
2021,9,Sơn La,NgoaiNgu,7961,5.0234,5.8499,-0.8265,-1.2508,2.0773
2021,31,Thừa Thiên Huế,NgoaiNgu,11092,5.0378,5.8499,-0.8121,-1.229,2.0411
