Tinh,TenTinh,Mon,n_years,mean_first,mean_last,change,volatility_std,max_yoy_abs_change,latest_count
27,Nghệ An,VatLy,5,7.0087,7.3783,0.3696,0.1784,0.4192,3581
1,Hà Nội,VatLy,5,6.7479,7.2243,0.4764,0.1924,0.4178,34042
10,Yên Bái,HoaHoc,5,6.4928,6.0326,-0.4602,0.2326,0.4157,1124
31,Thừa Thiên Huế,NgoaiNgu,5,5.0378,5.2664,0.2286,0.2585,0.4143,1900
19,Hải Dương,VatLy,5,7.0947,7.4057,0.311,0.1634,0.4093,6857
35,Bình Định,NguVan,5,6.5754,6.7227,0.1473,0.2018,0.4065,14073
30,Quảng Trị,NguVan,5,7.0521,7.9135,0.8614,0.3754,0.4064,16894
32,Đà Nẵng,VatLy,5,6.5859,7.0361,0.4502,0.1974,0.4063,2583
33,Quảng Nam,HoaHoc,5,7.0001,6.5725,-0.4276,0.1975,0.4058,3006
23,Hà Nam,VatLy,5,6.5521,6.8578,0.3057,0.1523,0.4048,1552
30,Quảng Trị,NgoaiNgu,5,5.3596,5.3324,-0.0272,0.2385,0.4029,4363
4,Bắc Kạn,VatLy,5,6.5189,7.0264,0.5075,0.2126,0.3988,6174
14,Quảng Ninh,VatLy,5,6.538,6.6496,0.1116,0.1492,0.3953,1424
22,Thái Bình,HoaHoc,5,6.9003,6.3175,-0.5828,0.2479,0.3943,3630
9,Sơn La,NgoaiNgu,5,5.0234,5.395,0.3716,0.2963,0.3794,1565
9,Sơn La,VatLy,5,6.6024,7.1584,0.556,0.2458,0.37,1720
54,Trà Vinh,VatLy,5,6.0601,6.5989,0.5388,0.2144,0.3654,3785
13,Lạng Sơn,NguVan,5,6.2481,6.8169,0.5688,0.2779,0.3623,9095
49,Bà Rịa - Vũng Tàu,VatLy,5,6.1189,6.6541,0.5352,0.208,0.3601,6519
60,Hậu Giang,VatLy,5,6.5316,6.7382,0.2066,0.1719,0.3568,2262
34,Quảng Ngãi,VatLy,5,6.6496,6.9397,0.2901,0.1528,0.3561,7022
7,Điện Biên,VatLy,5,6.407,6.4017,-0.0053,0.147,0.3553,792
61,Sóc Trăng,VatLy,5,6.0082,6.3424,0.3342,0.1647,0.3529,3016
30,Quảng Trị,VatLy,5,6.9503,7.3655,0.4152,0.1583,0.3405,4116
46,Tây Ninh,NguVan,5,6.901,6.8471,-0.0539,0.1515,0.3392,10891
46,Tây Ninh,VatLy,5,6.3701,6.705,0.3349,0.1746,0.3384,3351
41,Gia Lai,HoaHoc,5,6.3154,5.9914,-0.324,0.1815,0.3364,3042
29,Quảng Bình,VatLy,5,6.6069,7.2152,0.6083,0.2292,0.3348,9702
50,TP. Hồ Chí Minh,VatLy,5,6.2081,6.5791,0.371,0.1741,0.329,5144
17,Vĩnh Phúc,VatLy,5,6.8623,7.2314,0.3691,0.1679,0.3231,3821
58,Kiên Giang,VatLy,5,6.0759,6.3426,0.2667,0.1706,0.3218,2151
3,Cao Bằng,HoaHoc,5,6.5495,6.3478,-0.2017,0.1881,0.3211,4786
37,Khánh Hòa,NguVan,5,5.8871,6.9036,1.0165,0.3952,0.3197,19796
64,,VatLy,5,6.123,6.4708,0.3478,0.1573,0.3113,1738
22,Thái Bình,VatLy,5,6.9515,7.0362,0.0847,0.127,0.3105,5279
48,Đồng Nai,VatLy,5,6.4609,6.7657,0.3048,0.1546,0.3076,12320
60,Hậu Giang,NguVan,5,6.8521,7.0833,0.2312,0.2109,0.3063,6714
35,Bình Định,VatLy,5,6.5981,6.8613,0.2632,0.1293,0.3058,5199
16,Phú Thọ,VatLy,5,7.0872,7.5046,0.4174,0.1683,0.3041,4770
11,Hòa Bình,NguVan,5,6.2435,6.7829,0.5394,0.2407,0.3023,3097
6,Lào Cai,VatLy,5,6.445,6.277,-0.168,0.1663,0.294,848
37,Khánh Hòa,VatLy,5,6.7533,7.0615,0.3082,0.1418,0.2934,6231
61,Sóc Trăng,NguVan,5,6.4174,6.9245,0.5071,0.2037,0.2886,10856
53,Bến Tre,VatLy,5,6.4296,6.8943,0.4647,0.1871,0.2871,6503
44,Lâm Đồng,VatLy,5,6.7891,7.3303,0.5412,0.2048,0.2843,8235
21,Hưng Yên,VatLy,5,7.005,7.1398,0.1348,0.1267,0.284,8468
9,Sơn La,NguVan,5,6.0844,6.7807,0.6963,0.2654,0.2821,9805
45,Bình Phước,NguVan,5,6.1685,6.2219,0.0534,0.1082,0.2806,6158
38,Ninh Thuận,VatLy,5,6.4931,6.802,0.3089,0.1521,0.2754,4890
51,Long An,VatLy,5,6.6182,6.9316,0.3134,0.173,0.2753,6191
43,Đắk Nông,VatLy,5,6.3236,6.8648,0.5412,0.2413,0.2746,4566
55,Vĩnh Long,NguVan,5,6.7547,7.2096,0.4549,0.2425,0.2732,13050
42,Đắk Lắk,VatLy,5,6.6365,6.9369,0.3004,0.1468,0.2731,5517
47,Bình Dương,NguVan,5,6.4616,6.6135,0.1519,0.1643,0.2672,13322
28,Hà Tĩnh,VatLy,5,6.7313,6.989,0.2577,0.1176,0.259,9967
26,Thanh Hóa,VatLy,5,6.8156,7.0614,0.2458,0.145,0.2583,8160
45,Bình Phước,VatLy,5,6.3203,6.6687,0.3484,0.1557,0.2551,1932
62,Bạc Liêu,NguVan,5,6.405,6.8255,0.4205,0.1729,0.2534,6959
13,Lạng Sơn,VatLy,5,6.631,6.8743,0.2433,0.1202,0.2468,1202
15,Bắc Giang,VatLy,5,6.9425,7.3029,0.3604,0.1585,0.2413,3599
63,Cà Mau,VatLy,5,6.1712,6.4373,0.2661,0.1388,0.2402,2594
36,Phú Yên,VatLy,5,6.6105,6.9759,0.3654,0.1476,0.238,1530
52,Tiền Giang,VatLy,5,6.2613,6.7191,0.4578,0.1949,0.2368,6603
59,Cần Thơ,VatLy,5,6.1529,6.405,0.2521,0.1087,0.236,2642
31,Thừa Thiên Huế,VatLy,5,6.5235,6.7574,0.2339,0.1139,0.235,2479
1,Hà Nội,HoaHoc,5,6.2927,6.4535,0.1608,0.0854,0.234,16990
33,Quảng Nam,VatLy,5,6.7336,7.1397,0.4061,0.1473,0.2229,4185
18,Bắc Ninh,VatLy,5,6.8257,6.9337,0.108,0.0797,0.2168,6676
56,Đồng Tháp,VatLy,5,6.5332,6.7068,0.1736,0.1204,0.2149,4187
3,Cao Bằng,VatLy,5,6.9177,7.2104,0.2927,0.1361,0.2125,9194
47,Bình Dương,VatLy,5,6.5959,6.8967,0.3008,0.1398,0.2111,4001
62,Bạc Liêu,VatLy,5,6.136,6.4674,0.3314,0.1273,0.2086,913
57,An Giang,VatLy,5,6.7024,6.9161,0.2137,0.1203,0.2022,3392
25,Ninh Bình,VatLy,5,7.0346,7.2951,0.2605,0.1047,0.2017,11068
10,Yên Bái,VatLy,5,6.5,6.6971,0.1971,0.104,0.1909,1638
17,Vĩnh Phúc,HoaHoc,5,6.3871,6.3682,-0.0189,0.0637,0.1319,2201
6,Lào Cai,NguVan,5,5.7893,5.9927,0.2034,0.104,0.1137,4947
4,Bắc Kạn,HoaHoc,5,6.4532,6.3372,-0.116,0.0643,0.0814,3535
