Tinh,TenTinh,Mon,n_years,mean_first,mean_last,change,volatility_std,max_yoy_abs_change,latest_count
36,Phú Yên,HoaHoc,5,6.599,5.9365,-0.6625,0.3809,0.8263,1208
26,Thanh Hóa,NgoaiNgu,5,5.9689,5.3268,-0.6421,0.324,0.8181,7189
63,Cà Mau,NguVan,5,5.5084,6.5243,1.0159,0.5416,0.8141,8251
60,Hậu Giang,NgoaiNgu,5,5.8506,5.2298,-0.6208,0.3294,0.8128,1190
53,Bến Tre,NgoaiNgu,5,6.0232,4.9865,-1.0367,0.386,0.8123,5130
33,Quảng Nam,NgoaiNgu,5,5.7042,5.2085,-0.4957,0.2942,0.8053,4662
45,Bình Phước,HoaHoc,5,6.5134,5.6753,-0.8381,0.374,0.8038,1286
26,Thanh Hóa,HoaHoc,5,6.8864,6.17,-0.7164,0.3606,0.803,6200
41,Gia Lai,NguVan,5,5.6983,6.8746,1.1763,0.6345,0.8029,14427
48,Đồng Nai,NgoaiNgu,5,6.1436,5.2449,-0.8987,0.3519,0.7998,12371
61,Sóc Trăng,HoaHoc,5,6.1954,5.2363,-0.9591,0.4116,0.7961,2816
21,Hưng Yên,NgoaiNgu,5,5.9691,5.4473,-0.5218,0.3145,0.7951,7752
5,Tuyên Quang,NguVan,5,5.3215,5.9613,0.6398,0.3994,0.7824,7108
59,Cần Thơ,NguVan,5,7.0286,7.2684,0.2398,0.5014,0.7745,11153
60,Hậu Giang,HoaHoc,5,6.7013,5.9259,-0.7754,0.342,0.7745,1829
56,Đồng Tháp,NguVan,5,6.2807,6.93,0.6493,0.4187,0.7739,12172
41,Gia Lai,NgoaiNgu,5,6.0412,5.1536,-0.8876,0.3427,0.7692,5528
43,Đắk Nông,NguVan,5,5.9813,6.7266,0.7453,0.4395,0.7582,11884
29,Quảng Bình,NguVan,5,7.0232,8.0351,1.0119,0.4842,0.7579,39062
24,Nam Định,NgoaiNgu,5,5.8749,5.3339,-0.541,0.278,0.7565,3225
18,Bắc Ninh,NgoaiNgu,5,5.8291,5.2783,-0.5508,0.2777,0.7562,6043
22,Thái Bình,NguVan,5,6.0394,6.6782,0.6388,0.4537,0.7559,17928
15,Bắc Giang,NgoaiNgu,5,5.8183,5.3971,-0.4212,0.2683,0.7542,5012
