Nam,Vung,Mon,count,mean,pct_ge_8,province_count,min_province_mean,max_province_mean
2023,Đông Nam Bộ,HoaHoc,34245,6.6589,17.3879,6,6.5561,6.7811
2023,Đông Nam Bộ,NgoaiNgu,80627,5.3773,11.2132,6,4.935,5.6674
2023,Đông Nam Bộ,NguVan,92662,6.5326,13.7226,6,6.2006,6.9485
2023,Đông Nam Bộ,SinhHoc,33947,6.3865,8.711,6,6.1871,6.5931
2023,Đông Nam Bộ,Toan,92159,6.1952,10.161,6,5.8523,6.4172
2023,Đông Nam Bộ,VatLy,34178,6.2967,13.4597,6,6.1453,6.5269
2023,Đồng bằng sông Cửu Long,HoaHoc,51351,6.6689,18.5926,13,6.2376,6.9742
2023,Đồng bằng sông Cửu Long,NgoaiNgu,131944,5.1727,9.2342,13,4.1105,6.192
2023,Đồng bằng sông Cửu Long,NguVan,144902,6.837,21.8699,13,6.22,7.5647
2023,Đồng bằng sông Cửu Long,SinhHoc,50792,6.6025,12.797,13,6.1521,7.0644
2023,Đồng bằng sông Cửu Long,Toan,143372,6.1334,10.2355,13,5.1117,6.6254
2023,Đồng bằng sông Cửu Long,VatLy,50973,6.286,13.864,13,5.8724,6.5891
2023,Đồng bằng sông Hồng,HoaHoc,66467,6.7365,26.9997,10,6.2964,7.2545
2023,Đồng bằng sông Hồng,NgoaiNgu,202996,5.6988,20.1778,10,4.1392,6.2108
2023,Đồng bằng sông Hồng,NguVan,241672,7.1269,33.2512,10,6.0669,7.8283
2023,Đồng bằng sông Hồng,SinhHoc,65761,6.2617,9.565,10,5.9645,6.7572
2023,Đồng bằng sông Hồng,Toan,240841,6.4098,20.0146,10,4.9384,7.1283
2023,Đồng bằng sông Hồng,VatLy,66453,6.9016,30.4319,10,6.4636,7.2977
2024,Bắc Trung Bộ và Duyên hải miền Trung,HoaHoc,72621,6.927,32.7776,14,6.5921,7.3301
2024,Bắc Trung Bộ và Duyên hải miền Trung,NgoaiNgu,213577,5.3066,10.6113,14,4.7321,5.8331
2024,Bắc Trung Bộ và Duyên hải miền Trung,NguVan,238152,7.3206,40.5172,14,6.3828,8.1687
2024,Bắc Trung Bộ và Duyên hải miền Trung,SinhHoc,71587,6.2846,10.3865,14,5.7559,6.8406
2024,Bắc Trung Bộ và Duyên hải miền Trung,Toan,237142,6.3975,18.9406,14,6.0259,6.9494
2024,Bắc Trung Bộ và Duyên hải miền Trung,VatLy,72472,6.8327,32.6195,14,6.3326,7.231
2024,Trung du và miền núi phía Bắc,HoaHoc,80889,6.5892,24.5113,14,6.2531,7.5162
2024,Trung du và miền núi phía Bắc,NgoaiNgu,191757,5.8611,20.3634,14,3.9158,6.7347
2024,Trung du và miền núi phía Bắc,NguVan,227149,6.992,28.4466,14,5.8992,7.9987
2024,Trung du và miền núi phía Bắc,SinhHoc,79911,6.2722,10.3256,14,5.6578,7.3198
2024,Trung du và miền núi phía Bắc,Toan,226468,6.4848,19.6375,14,4.5847,6.9836
2024,Trung du và miền núi phía Bắc,VatLy,80645,6.5436,24.2115,14,6.0072,7.4896
2024,Tây Nguyên,HoaHoc,29449,6.6689,25.5385,5,6.3278,7.1368
2024,Tây Nguyên,NgoaiNgu,68230,5.465,13.5074,5,4.6535,6.6528
2024,Tây Nguyên,NguVan,76324,6.9782,25.0782,5,6.5836,7.4616
2024,Tây Nguyên,SinhHoc,29101,6.3049,9.6522,5,5.8315,6.7714
2024,Tây Nguyên,Toan,76244,6.4,17.2031,5,5.8012,7.1324
2024,Tây Nguyên,VatLy,29442,6.6132,24.57,5,6.2489,7.046
2024,Đông Nam Bộ,HoaHoc,35685,6.5715,20.9606,6,6.4493,6.7049
2024,Đông Nam Bộ,NgoaiNgu,83310,5.3638,10.589,6,4.9313,5.6679
2024,Đông Nam Bộ,NguVan,95113,6.8204,19.9904,6,6.1182,7.3236
